form,tags
-entes,
-ents,
1000e,
1000ième,['alternative']
1000è,['alternative']
1000ème,['alternative']
100e,
100ième,['alternative']
100ème,['alternative']
10^(ième),['alternative']
10e,
10ᵉ,['canonical']
10ᵉ,['alternative']
10ᵐᵉ,['alternative']
10ⁱᵉᵐᵉ,['alternative']
11e,
11ᵉ,['canonical']
12e,
12ᵉ,['canonical']
13e,
13ᵉ,['canonical']
14e,
14ᵉ,['canonical']
15e,
15ᵉ,['canonical']
16e,
16ᵉ,['canonical']
17e,
17ᵉ,['canonical']
18e,
18ᵉ,['canonical']
19e,
19ᵉ,['canonical']
1er,
1ers,
1re,
1res,
1ère,
1ʳᵉ,['feminine']
1ʳᵉ,['canonical']
1ʳᵉˢ,"['feminine', 'plural']"
1ʳᵉˢ,['canonical']
1ᵉʳ,['canonical']
1ᵉʳˢ,"['masculine', 'plural']"
1ᵉʳˢ,['canonical']
2 de tension,['alternative']
20e,
20ᵉ,['canonical']
21e,
21ᵉ,['canonical']
2e,
2ᵈ,['alternative']
2ᵉ,['alternative']
2ᵉ,['canonical']
3e,
3ᵉ,['canonical']
4e,
4ᵉ,['canonical']
5e,
5ᵉ,['canonical']
67,
6e,
6ᵉ,['canonical']
7e,
7ᵉ,['canonical']
8e,
8ᵉ,['canonical']
9e,
9ᵉ,['canonical']
ASM,
Amérindien,['alternative']
BCBG,
CBRN,
Cab,
Cabs,['plural']
E,
François,['alternative']
HS,
Hadopi,
Hon.,
I,['alternative']
IPC,
LGBT,
LSRes,
LSRs,
L’Hon.,['canonical']
Mélanésienne,
Mélanésiennes,
Mélanésiens,
N. D.,['alternative']
N.D.,['alternative']
N/D,['alternative']
NBC,
ND,
NDs,['plural']
NP-complet,
NP-complets,"['masculine', 'plural']"
NP-complète,['feminine']
NP-complètes,"['feminine', 'plural']"
NP-difficile,
NP-difficiles,['plural']
NRBC,
Nazbol,
Nazbols,['plural']
Noir,['alternative']
ORL,['alternative']
Peau-Rouge,['alternative']
Peule,
Peules,
Ral,
Rᵃˡ,['canonical']
S. T.,['alternative']
S.T.,['alternative']
SDP,
SOV,
ST,
Sôter,
TLJ,
Tahitienne,
Tahitiennes,
Tahitiens,
Tasher,['alternative']
Tashers,"['masculine', 'plural']"
Tashère,['feminine']
Tashères,"['feminine', 'plural']"
Templier,['alternative']
Terrien,['alternative']
Tosher,['alternative']
Toshers,"['masculine', 'plural']"
Toshère,['feminine']
Toshères,"['feminine', 'plural']"
Trumpiste,
Trumpistes,['plural']
Tsigane,['alternative']
Tzigane,['alternative']
X,
XXS,
X^(ième),['alternative']
Xe,
Xes,['plural']
Xme,
Xmes,['plural']
Xᵉ,['canonical']
Xᵉ,['alternative']
Xᵐᵉ,['alternative']
Xᵐᵉ,['canonical']
Xⁱᵉᵐᵉ,['alternative']
a capella,['alternative']
a cappella,
a divinis,
a giorno,
a latere,
a posteriori,
a priori,
aalandais,"['masculine', 'plural']"
aalandaise,['feminine']
aalandaises,"['feminine', 'plural']"
aalénien,
aalénienne,['feminine']
aaléniennes,"['feminine', 'plural']"
aaléniens,"['masculine', 'plural']"
aaronais,"['masculine', 'plural']"
aaronaise,['feminine']
aaronaises,"['feminine', 'plural']"
aaronique,
aaroniques,['plural']
aastais,"['masculine', 'plural']"
aastaise,['feminine']
aastaises,"['feminine', 'plural']"
ababouiné,
ababouinée,['feminine']
ababouinées,"['feminine', 'plural']"
ababouinés,"['masculine', 'plural']"
abactérien,
abactérienne,['feminine']
abactériennes,"['feminine', 'plural']"
abactériens,"['masculine', 'plural']"
abactériémique,
abactériémiques,['plural']
abainvillois,"['masculine', 'plural']"
abainvilloise,['feminine']
abainvilloises,"['feminine', 'plural']"
abaissable,
abaissables,['plural']
abaissant,
abaissante,['feminine']
abaissantes,"['feminine', 'plural']"
abaissants,"['masculine', 'plural']"
abaisseur,
abaisseurs,"['masculine', 'plural']"
abaisseuse,['feminine']
abaisseuses,"['feminine', 'plural']"
abaissé,
abaissée,['feminine']
abaissées,"['feminine', 'plural']"
abaissés,"['masculine', 'plural']"
abancourtois,"['masculine', 'plural']"
abancourtoise,['feminine']
abancourtoises,"['feminine', 'plural']"
abandonnable,
abandonnables,['plural']
abandonnataire,
abandonnataires,['plural']
abandonnateur,
abandonnateurs,"['masculine', 'plural']"
abandonnatrice,['feminine']
abandonnatrices,"['feminine', 'plural']"
abandonneur,
abandonneurs,"['masculine', 'plural']"
abandonneuse,['feminine']
abandonneuses,"['feminine', 'plural']"
abandonnique,
abandonniques,['plural']
abandonné,
abandonnée,['feminine']
abandonnées,"['feminine', 'plural']"
abandonnés,"['masculine', 'plural']"
abarticulaire,
abarticulaires,['plural']
abasourdi,
abasourdie,['feminine']
abasourdies,"['feminine', 'plural']"
abasourdis,"['masculine', 'plural']"
abasourdissant,
abasourdissante,['feminine']
abasourdissantes,"['feminine', 'plural']"
abasourdissants,"['masculine', 'plural']"
abasside,['alternative']
abassides,['plural']
abattable,
abattables,['plural']
abattant,
abattante,['feminine']
abattantes,"['feminine', 'plural']"
abattants,"['masculine', 'plural']"
abattu,
abattue,['feminine']
abattues,"['feminine', 'plural']"
abattus,"['masculine', 'plural']"
abaxial,
abaxiaux,['plural']
abbarois,"['masculine', 'plural']"
abbaroise,['feminine']
abbaroises,"['feminine', 'plural']"
abbasside,
abbassides,['plural']
abbatial,
abbatiale,['feminine']
abbatiales,"['feminine', 'plural']"
abbatiaux,"['masculine', 'plural']"
abbecourtois,"['masculine', 'plural']"
abbecourtoise,['feminine']
abbecourtoises,"['feminine', 'plural']"
abbenanais,"['masculine', 'plural']"
abbenanaise,['feminine']
abbenanaises,"['feminine', 'plural']"
abbevillien,
abbevillienne,['feminine']
abbevilliennes,"['feminine', 'plural']"
abbevilliens,"['masculine', 'plural']"
abbevillois,"['masculine', 'plural']"
abbevilloise,['feminine']
abbevilloises,"['feminine', 'plural']"
abbécourtois,"['masculine', 'plural']"
abbécourtoise,['feminine']
abbécourtoises,"['feminine', 'plural']"
abbévillois,"['masculine', 'plural']"
abbévilloise,['feminine']
abbévilloises,['plural']
abbévilloises,"['feminine', 'plural']"
abdicataire,
abdicataires,['plural']
abdicatif,
abdicatifs,"['masculine', 'plural']"
abdicative,['feminine']
abdicatives,"['feminine', 'plural']"
abdominal,
abdominale,['feminine']
abdominales,"['feminine', 'plural']"
abdominaux,"['masculine', 'plural']"
abducteur,
abducteurs,"['masculine', 'plural']"
abductif,
abductifs,"['masculine', 'plural']"
abductive,['feminine']
abductives,"['feminine', 'plural']"
abductrice,['feminine']
abductrices,"['feminine', 'plural']"
abeiller,
abeillers,"['masculine', 'plural']"
abeillère,['feminine']
abeillères,"['feminine', 'plural']"
abeillé,
abeillée,['feminine']
abeillées,"['feminine', 'plural']"
abeillés,"['masculine', 'plural']"
aberdonien,
aberdonienne,['feminine']
aberdoniennes,"['feminine', 'plural']"
aberdoniens,"['masculine', 'plural']"
aberrant,
aberrante,['feminine']
aberrantes,"['feminine', 'plural']"
aberrants,"['masculine', 'plural']"
abessif,
abessifs,"['masculine', 'plural']"
abessive,['feminine']
abessives,"['feminine', 'plural']"
abhorrable,
abhorrables,['plural']
abidjanais,"['masculine', 'plural']"
abidjanaise,['feminine']
abidjanaises,"['feminine', 'plural']"
abiotique,
abiotiques,['plural']
abitibien,
abitibienne,['feminine']
abitibiennes,"['feminine', 'plural']"
abitibiens,"['masculine', 'plural']"
abiéticole,
abiéticoles,['plural']
abiétin,
abiétine,['feminine']
abiétines,"['feminine', 'plural']"
abiétins,"['masculine', 'plural']"
abiétiné,
abiétinée,['feminine']
abiétinées,"['feminine', 'plural']"
abiétinés,"['masculine', 'plural']"
abjadique,
abjadiques,['plural']
abject,
abjecte,['feminine']
abjectes,"['feminine', 'plural']"
abjects,"['masculine', 'plural']"
abjurateur,
abjurateurs,"['masculine', 'plural']"
abjuratoire,
abjuratoires,['plural']
abjuratrice,['feminine']
abjuratrices,"['feminine', 'plural']"
abkhaze,
abkhazes,['plural']
abkhazien,
abkhazienne,['feminine']
abkhaziennes,"['feminine', 'plural']"
abkhaziens,"['masculine', 'plural']"
ablatable,
ablatables,['plural']
ablatif,
ablatifs,"['masculine', 'plural']"
ablative,['feminine']
ablatives,"['feminine', 'plural']"
abnégué,
abnéguée,['feminine']
abnéguées,"['feminine', 'plural']"
abnégués,"['masculine', 'plural']"
abolissable,
abolissables,['plural']
abolitif,
abolitifs,"['masculine', 'plural']"
abolitioniste,
abolitionistes,['plural']
abolitionniste,
abolitionnistes,['plural']
abolitive,['feminine']
abolitives,"['feminine', 'plural']"
abomiffreuse,['feminine']
abomiffreuses,"['feminine', 'plural']"
abomiffreux,"['masculine', 'plural']"
abominable,
abominables,['plural']
aboméen,
aboméenne,['feminine']
aboméennes,"['feminine', 'plural']"
aboméens,"['masculine', 'plural']"
abondant,
abondante,['feminine']
abondantes,"['feminine', 'plural']"
abondantissime,
abondantissimes,['plural']
abondants,"['masculine', 'plural']"
abonné,
abonnée,['feminine']
abonnées,"['feminine', 'plural']"
abonnés,"['masculine', 'plural']"
abordable,
abordables,['plural']
abordeur,
abordeurs,"['masculine', 'plural']"
abordeuse,['feminine']
abordeuses,"['feminine', 'plural']"
aborigène,
aborigènes,['plural']
abortif,
abortifs,"['masculine', 'plural']"
abortive,['feminine']
abortives,"['feminine', 'plural']"
aboudabien,['alternative']
aboudabienne,['feminine']
aboudabiennes,"['feminine', 'plural']"
aboudabiens,"['masculine', 'plural']"
aboudhabien,['alternative']
aboudhabienne,['feminine']
aboudhabiennes,"['feminine', 'plural']"
aboudhabiens,"['masculine', 'plural']"
abougri,
abougrie,['feminine']
abougries,"['feminine', 'plural']"
abougris,"['masculine', 'plural']"
aboulique,
abouliques,['plural']
aboyant,
aboyante,['feminine']
aboyantes,"['feminine', 'plural']"
aboyants,"['masculine', 'plural']"
aboyeur,
aboyeurs,"['masculine', 'plural']"
aboyeuse,['feminine']
aboyeuses,"['feminine', 'plural']"
abracadabrant,
abracadabrante,['feminine']
abracadabrantes,"['feminine', 'plural']"
abracadabrantesque,
abracadabrantesques,['plural']
abracadabrants,"['masculine', 'plural']"
abracadabresque,
abracadabresques,['plural']
abrachiocéphale,
abrachiocéphales,['plural']
abrahamique,
abrahamiques,['plural']
abrahamiste,
abrahamistes,['plural']
abrasif,
abrasifs,"['masculine', 'plural']"
abrasive,['feminine']
abrasives,"['feminine', 'plural']"
abricot,
abricoté,
abricotée,['feminine']
abricotées,"['feminine', 'plural']"
abricotés,"['masculine', 'plural']"
abrogateur,
abrogateurs,"['masculine', 'plural']"
abrogatif,
abrogatifs,"['masculine', 'plural']"
abrogative,['feminine']
abrogatives,"['feminine', 'plural']"
abrogatoire,
abrogatoires,['plural']
abrogatrice,['feminine']
abrogatrices,"['feminine', 'plural']"
abrogeable,
abrogeables,['plural']
abrupt,
abrupte,['feminine']
abruptes,"['feminine', 'plural']"
abrupts,"['masculine', 'plural']"
abrute,
abrutes,['plural']
abruti,
abrutie,['feminine']
abruties,"['feminine', 'plural']"
abrutis,"['masculine', 'plural']"
abrutissant,
abrutissante,['feminine']
abrutissantes,"['feminine', 'plural']"
abrutissants,"['masculine', 'plural']"
abrutissime,
abrutissimes,['plural']
abruzzais,"['masculine', 'plural']"
abruzzaise,['feminine']
abruzzaises,"['feminine', 'plural']"
abréactif,
abréactifs,"['masculine', 'plural']"
abréactive,['feminine']
abréactives,"['feminine', 'plural']"
abréviatif,
abréviatifs,"['masculine', 'plural']"
abréviative,['feminine']
abréviatives,"['feminine', 'plural']"
absalonien,
absalonienne,['feminine']
absaloniennes,"['feminine', 'plural']"
absaloniens,"['masculine', 'plural']"
abscons,"['masculine', 'plural']"
absconse,['feminine']
absconses,"['feminine', 'plural']"
absent,
absente,['feminine']
absentes,"['feminine', 'plural']"
absents,"['masculine', 'plural']"
absentéiste,
absentéistes,['plural']
absidal,
absidale,['feminine']
absidales,"['feminine', 'plural']"
absidaux,"['masculine', 'plural']"
absidial,
absidiale,['feminine']
absidiales,"['feminine', 'plural']"
absidiaux,"['masculine', 'plural']"
absinthique,
absinthiques,['plural']
absinthé,
absinthée,['feminine']
absinthées,"['feminine', 'plural']"
absinthés,"['masculine', 'plural']"
absolu,
absolue,['feminine']
absolues,"['feminine', 'plural']"
absolus,"['masculine', 'plural']"
absoluteur,
absoluteurs,"['masculine', 'plural']"
absolutiste,
absolutistes,['plural']
absolutoire,
absolutoires,['plural']
absolutrice,['feminine']
absolutrices,"['feminine', 'plural']"
absorbable,
absorbables,['plural']
absorbant,
absorbante,['feminine']
absorbantes,"['feminine', 'plural']"
absorbants,"['masculine', 'plural']"
absous,"['masculine', 'plural']"
absout,['alternative']
absoute,['feminine']
absoutes,"['feminine', 'plural']"
abstersif,
abstersifs,"['masculine', 'plural']"
abstersive,['feminine']
abstersives,"['feminine', 'plural']"
abstinent,
abstinente,['feminine']
abstinentes,"['feminine', 'plural']"
abstinents,"['masculine', 'plural']"
abstractif,
abstractifs,"['masculine', 'plural']"
abstractionniste,
abstractionnistes,['plural']
abstractive,['feminine']
abstractives,"['feminine', 'plural']"
abstrait,
abstraite,['feminine']
abstraites,"['feminine', 'plural']"
abstraits,"['masculine', 'plural']"
abstrus,"['masculine', 'plural']"
abstruse,['feminine']
abstruses,"['feminine', 'plural']"
abstème,
abstèmes,['plural']
absurde,
absurdes,['plural']
abusif,
abusifs,"['masculine', 'plural']"
abusive,['feminine']
abusives,"['feminine', 'plural']"
abutyrotomofilogène,
abutyrotomofilogènes,['plural']
abyssal,
abyssale,['feminine']
abyssales,"['feminine', 'plural']"
abyssaux,"['masculine', 'plural']"
abyssin,
abyssine,['feminine']
abyssines,"['feminine', 'plural']"
abyssinien,
abyssinienne,['feminine']
abyssiniennes,"['feminine', 'plural']"
abyssiniens,"['masculine', 'plural']"
abyssins,"['masculine', 'plural']"
abyssopélagique,
abyssopélagiques,['plural']
abâtardi,
abâtardie,['feminine']
abâtardies,"['feminine', 'plural']"
abâtardis,"['masculine', 'plural']"
abécédaire,
abécédaires,['plural']
abélien,
abélienne,['feminine']
abéliennes,"['feminine', 'plural']"
abéliens,"['masculine', 'plural']"
abénaquis,"['masculine', 'plural']"
abénaquise,['feminine']
abénaquises,"['feminine', 'plural']"
abêtissant,
abêtissante,['feminine']
abêtissantes,"['feminine', 'plural']"
abêtissants,"['masculine', 'plural']"
acadien,
acadienne,['feminine']
acadiennes,"['feminine', 'plural']"
acadiens,"['masculine', 'plural']"
académique,
académiques,['plural']
académisable,
académisables,['plural']
acafalé,
acafalée,['feminine']
acafalées,"['feminine', 'plural']"
acafalés,"['masculine', 'plural']"
acalifourchonné,
acalifourchonnée,['feminine']
acalifourchonnées,"['feminine', 'plural']"
acalifourchonnés,"['masculine', 'plural']"
acalorique,
acaloriques,['plural']
acanthocarpe,
acanthocarpes,['plural']
acanthopode,
acanthopodes,['plural']
acanthé,
acanthée,['feminine']
acanthées,"['feminine', 'plural']"
acanthés,"['masculine', 'plural']"
acantoïde,
acantoïdes,['plural']
acapsulé,
acapsulée,['feminine']
acapsulées,"['feminine', 'plural']"
acapsulés,"['masculine', 'plural']"
acardiaque,
acardiaques,['plural']
acariâtre,
acariâtres,['plural']
acarologique,
acarologiques,['plural']
acarpe,
acarpes,['plural']
acatalecte,
acatalectes,['plural']
acatalectique,
acatalectiques,['plural']
acataleptique,
acataleptiques,['plural']
acathisique,
acathisiques,['plural']
acatholique,
acatholiques,['plural']
acathésique,
acathésiques,['plural']
acatène,
acatènes,['plural']
acaule,
acaules,['plural']
acausal,
acausale,['feminine']
acausales,"['feminine', 'plural']"
acausaux,"['masculine', 'plural']"
accablant,
accablante,['feminine']
accablantes,"['feminine', 'plural']"
accablants,"['masculine', 'plural']"
accablé,
accablée,['feminine']
accablées,"['feminine', 'plural']"
accablés,"['masculine', 'plural']"
accadien,
accadienne,['feminine']
accadiennes,"['feminine', 'plural']"
accadiens,"['masculine', 'plural']"
accalminé,
accalminée,['feminine']
accalminées,"['feminine', 'plural']"
accalminés,"['masculine', 'plural']"
accentuel,
accentuelle,['feminine']
accentuelles,"['feminine', 'plural']"
accentuels,"['masculine', 'plural']"
accentué,
accentuée,['feminine']
accentuées,"['feminine', 'plural']"
accentués,"['masculine', 'plural']"
acceptable,
acceptables,['plural']
acceptant,
acceptante,['feminine']
acceptantes,"['feminine', 'plural']"
acceptants,"['masculine', 'plural']"
acceptatif,
acceptatifs,"['masculine', 'plural']"
acceptative,['feminine']
acceptatives,"['feminine', 'plural']"
accessible,
accessibles,['plural']
accessoire,
accessoires,['plural']
accessoirisé,
accessoirisée,['feminine']
accessoirisées,"['feminine', 'plural']"
accessoirisés,"['masculine', 'plural']"
accidentable,
accidentables,['plural']
accidentel,
accidentelle,['feminine']
accidentelles,"['feminine', 'plural']"
accidentels,"['masculine', 'plural']"
accidentogène,
accidentogènes,['plural']
accidenté,
accidentée,['feminine']
accidentées,"['feminine', 'plural']"
accidentés,"['masculine', 'plural']"
accipitrin,
accipitrine,['feminine']
accipitrines,"['feminine', 'plural']"
accipitrins,"['masculine', 'plural']"
accisien,
accisienne,['feminine']
accisiennes,"['feminine', 'plural']"
accisiens,"['masculine', 'plural']"
acclamatif,
acclamatifs,"['masculine', 'plural']"
acclamative,['feminine']
acclamatives,"['feminine', 'plural']"
acclimatable,
acclimatables,['plural']
acclimaté,
acclimatée,['feminine']
acclimatées,"['feminine', 'plural']"
acclimatés,"['masculine', 'plural']"
accolé,
accolée,['feminine']
accolées,"['feminine', 'plural']"
accolés,"['masculine', 'plural']"
accombant,
accombante,['feminine']
accombantes,"['feminine', 'plural']"
accombants,"['masculine', 'plural']"
accommodant,
accommodante,['feminine']
accommodantes,"['feminine', 'plural']"
accommodants,"['masculine', 'plural']"
accommodateur,
accommodateurs,"['masculine', 'plural']"
accommodatrice,['feminine']
accommodatrices,"['feminine', 'plural']"
accompli,
accomplie,['feminine']
accomplies,"['feminine', 'plural']"
accomplis,"['masculine', 'plural']"
accordable,
accordables,['plural']
accordé,
accordée,['feminine']
accordées,"['feminine', 'plural']"
accordéonesque,
accordéonesques,['plural']
accordés,"['masculine', 'plural']"
accore,
accores,['plural']
accorné,
accornée,['feminine']
accornées,"['feminine', 'plural']"
accornés,"['masculine', 'plural']"
accort,
accorte,['feminine']
accortes,"['feminine', 'plural']"
accorts,"['masculine', 'plural']"
accostable,
accostables,['plural']
accouplable,
accouplables,['plural']
accoutré,
accoutrée,['feminine']
accoutrées,"['feminine', 'plural']"
