form,tags
&,
afin,
afin de,
afin que,
ainsi que,
alors même que,
alors que,
and,['with-subjunctive']
après que,
attendu que,
au cas où,
au fur et à mesure,
au moment où,
au motif que,
au même titre que,
aussi,
aussitôt que,
autant que,
autrement,
avant que,
because,
bien que,
c.,['alternative']
car,
cependant,
comme,
comme pour,
comme si,
d'autant moins que,
d'autant plus que,
d'autant que,
d'ici à ce que,
d'où,
dans l'espoir de,
dans l'espoir que,
dans la mesure où,
dans l’ espoir de,['canonical']
dans l’ espoir que,['canonical']
de façon que,
de façon à,
de leur côté,
de manière que,
de manière à,
de même que,
de peur que,
de sorte que,
depuis que,
des fois que,
dire que,
du moment que,
dès lors que,
dès que,
d’ autant moins que,['canonical']
d’ autant plus que,['canonical']
d’ autant que,['canonical']
d’ ici à ce que,['canonical']
d’où,['canonical']
en attendant que,
en cas que,
en ce sens que,
en tant que,
en vue de,
encore que,
et,
et/ou,
fait que,
fak,
faque,
faute de quoi,
histoire de,
histoire que,
jusqu'à ce que,
jusqu’à ce que,['canonical']
kan,
le temps de,
le temps que,
lors même que,
lorsqu',
lorsque,
lorsqu’,['canonical']
maintenant que,
mais,
malgré que,
même si,
ne,['expletive']
ni,
non,
non pas que,
non que,
optionally,['with-subjunctive']
or,
ou,
ou bien,
outre que,
où que,
parce que,
parceque,
partant,
pas que,
pendant que,
pi,['alternative']
pis,
pour autant que,
pour ne pas dire,
pour peu que,
pour que,
pource,
pourque,
pourquoi que,
pourquoy,
pourvu que,
psk,
puis,
puisqu',
puisque,
puisqu’,['canonical']
qu',
quand,
quand bien même,
que,
quelque part que,
qui,
quoiqu',
quoique,
quoiqu’,['alternative']
quoiqu’,['canonical']
qué,
qu’,['canonical']
s',
sauf que,
sauf si,
selon que,
si,
si bien que,
si ce n'est que,
si ce n’ est que,['canonical']
si et seulement si,
si jamais,
si tant est que,
sinon,
sitôt que,
soit,
soit ... soit,['canonical']
sous prétexte que,
sous réserve de,
sous réserve que,
ssi,
suivant que,
surtout que,
s’,['canonical']
tandis que,
tant et si bien que,
tant que,
tel,
tout comme,
une fois,
vu que,
à cause que,
à ceci près que,
à cela près que,
à condition que,
à l'égal de,
à la condition que,['alternative']
à la différence de,
à l’ égal de,['canonical']
à mesure que,
à moins de,
à moins que,
à part que,
à seule fin de,
à supposer que,
à tel point que,
étant donné que,
