form,tags
06,['plural']
100 mètres,
1000e,['plural']
1000ième,['alternative']
1000è,['alternative']
1000ème,['alternative']
100e,['plural']
100ième,['alternative']
100ème,['alternative']
12 coups de minuit,['alternative']
16es de finale,['alternative']
1ère,
1ères,['plural']
2 CV,['alternative']
2 CV,['plural']
2 de tension,['alternative']
2-méthylbutane,
2-méthylbutanes,['plural']
2-méthylpropane,
2-méthylpropanes,['plural']
200 mètres,
24 x 36,['plural']
2CV,['plural']
2ᵈ,['alternative']
2ᵉ,['alternative']
36e dessous,['alternative']
4 nages,
4 ×,"['canonical', 'masculine']"
4 × 4,['plural']
400 mètres,
404,['plural']
4L,['plural']
4X4,['alternative']
4x4,['plural']
4×4,['alternative']
5 a 7,['alternative']
5 à,"['canonical', 'masculine']"
5 à 7,
5-a-7,['alternative']
5-à-7,['alternative']
51e État,
51ᵉ État,"['canonical', 'masculine']"
5@7,['alternative']
5a7,['alternative']
5à7,['alternative']
67,['plural']
69,
7allouf,['alternative']
800 mètres,
8e de finale,['alternative']
9 3,['alternative']
9-3,
A. M.,
AAAAA,
ABS,
AC45,['plural']
AC72,['plural']
AC90,
ACC,
ACE,
ACEs,['plural']
ACL,['plural']
ADM,
ADMs,['plural']
ADN,['plural']
ADN poubelle,
ADN poubelles,['plural']
AFM,
AFMs,['plural']
AIE,['plural']
AIIP,['plural']
AIP,['plural']
AIÉ,['plural']
AJ,
AMC,['plural']
AMD,
AML,['plural']
AMR,
AOC,['plural']
AOCs,
API,['plural']
APN,['plural']
ARN,['plural']
ASBL,
ASBLs,['plural']
ASN,
ASNs,['plural']
AVC,['plural']
AZERTY,['plural']
Aalandais,['plural']
Aalandais,['masculine']
Aalandaise,['feminine']
Aalandaises,['plural']
Abbasside,
Abbassides,['plural']
Abbevillois,['plural']
Abbevillois,['masculine']
Abbevilloise,['feminine']
Abbevilloises,['plural']
Aberdonien,
Aberdonienne,['feminine']
Aberdoniennes,['plural']
Aberdoniens,['plural']
Abidjanais,['plural']
Abidjanaise,['feminine']
Abidjanaises,['plural']
Abitibien,
Abitibienne,['feminine']
Abitibiennes,['plural']
Abitibiens,['plural']
Abkhaze,
Abkhazes,['plural']
Abkhazien,
Abkhazienne,['feminine']
Abkhaziennes,['plural']
Abkhaziens,['plural']
Aboméen,
Aboméenne,['feminine']
Aboméennes,['plural']
Aboméens,['plural']
Aborigène,
Aborigènes,['plural']
Abruzzais,['plural']
Abruzzaise,['feminine']
Abruzzaises,['plural']
Abénaquis,['plural']
Abénaquise,['feminine']
Abénaquises,['plural']
Acadien,
Acadienne,['feminine']
Acadiennes,['plural']
Acadiens,['plural']
Achanti,
Achantis,['plural']
Achantis m pl or f pl by sense,['canonical']
Added ch,"['canonical', 'masculine']"
Afghan,
Afghane,['feminine']
Afghanes,['plural']
Afghans,['plural']
Africain,
Africaine,['feminine']
Africaines,['plural']
Africains,['plural']
Aixois,['plural']
Aixoise,['feminine']
Aixoises,['plural']
Ajaccien,['alternative']
Ajaccienne,['feminine']
Ajacciennes,['plural']
Ajacciens,['plural']
Ajacéen,['alternative']
Ajacéenne,['feminine']
