form,tags
-entes,
0.ª,['feminine']
0.ªs,"['feminine', 'plural']"
0.º,
0.ºs,"['masculine', 'plural']"
1.ª,['alternative']
1.ª,['feminine']
1.ªs,"['feminine', 'plural']"
1.º,['alternative']
1.ºs,"['masculine', 'plural']"
10.ª,['feminine']
10.ªs,"['feminine', 'plural']"
10.º,
10.ºs,"['masculine', 'plural']"
100.ª,['feminine']
100.ªs,"['feminine', 'plural']"
100.º,
100.ºs,"['masculine', 'plural']"
11.ª,['feminine']
11.ªs,"['feminine', 'plural']"
11.º,
11.ºs,"['masculine', 'plural']"
12.ª,['feminine']
12.ªs,"['feminine', 'plural']"
12.º,
12.ºs,"['masculine', 'plural']"
13.ª,['feminine']
13.ªs,"['feminine', 'plural']"
13.º,
13.ºs,"['masculine', 'plural']"
14.ª,['feminine']
14.ªs,"['feminine', 'plural']"
14.º,
14.ºs,"['masculine', 'plural']"
15.ª,['feminine']
15.ªs,"['feminine', 'plural']"
15.º,
15.ºs,"['masculine', 'plural']"
16.ª,['feminine']
16.ªs,"['feminine', 'plural']"
16.º,
16.ºs,"['masculine', 'plural']"
17.ª,['feminine']
17.ªs,"['feminine', 'plural']"
17.º,
17.ºs,"['masculine', 'plural']"
18.ª,['feminine']
18.ªs,"['feminine', 'plural']"
18.º,
18.ºs,"['masculine', 'plural']"
19.ª,['feminine']
19.ªs,"['feminine', 'plural']"
19.º,
19.ºs,"['masculine', 'plural']"
1ª,['alternative']
1º,
2.ª,['feminine']
2.ª,['alternative']
2.ªs,
2.ªˢ,"['feminine', 'plural']"
2.º,['alternative']
2.ºs,
2.ºˢ,"['masculine', 'plural']"
20.ª,['feminine']
20.ªs,"['feminine', 'plural']"
20.º,
20.ºs,"['masculine', 'plural']"
21.ª,['feminine']
21.ªs,"['feminine', 'plural']"
21.º,
21.ºs,"['masculine', 'plural']"
22.ª,['feminine']
22.ªs,"['feminine', 'plural']"
22.º,
22.ºs,"['masculine', 'plural']"
23.ª,['feminine']
23.ªs,"['feminine', 'plural']"
23.º,
23.ºs,"['masculine', 'plural']"
24.ª,['feminine']
24.ªs,"['feminine', 'plural']"
24.º,
24.ºs,"['masculine', 'plural']"
25.ª,['feminine']
25.ªs,"['feminine', 'plural']"
25.º,
25.ºs,"['masculine', 'plural']"
26.ª,['feminine']
26.ªs,"['feminine', 'plural']"
26.º,
26.ºs,"['masculine', 'plural']"
27.ª,['feminine']
27.ªs,"['feminine', 'plural']"
27.º,
27.ºs,"['masculine', 'plural']"
28.ª,['feminine']
28.ªs,"['feminine', 'plural']"
28.º,
28.ºs,"['masculine', 'plural']"
29.ª,['feminine']
29.ªs,"['feminine', 'plural']"
29.º,
29.ºs,"['masculine', 'plural']"
2a,['feminine']
2as,"['feminine', 'plural']"
2o,
2os,"['masculine', 'plural']"
2ª,['feminine']
2º,['masculine']
3.ª,['alternative']
3.ª,['feminine']
3.ªs,"['feminine', 'plural']"
3.º,['alternative']
3.ºs,"['masculine', 'plural']"
30.ª,['feminine']
30.ªs,"['feminine', 'plural']"
30.º,
30.ºs,"['masculine', 'plural']"
31.ª,['feminine']
31.ªs,"['feminine', 'plural']"
31.º,
31.ºs,"['masculine', 'plural']"
32.ª,['feminine']
32.ªs,"['feminine', 'plural']"
32.º,
32.ºs,"['masculine', 'plural']"
33.ª,['feminine']
33.ªs,"['feminine', 'plural']"
33.º,
33.ºs,"['masculine', 'plural']"
34.ª,['feminine']
34.ªs,"['feminine', 'plural']"
34.º,
34.ºs,"['masculine', 'plural']"
35.ª,['feminine']
35.ªs,"['feminine', 'plural']"
35.º,
35.ºs,"['masculine', 'plural']"
36.ª,['feminine']
36.ªs,"['feminine', 'plural']"
36.º,
36.ºs,"['masculine', 'plural']"
37.ª,['feminine']
37.ªs,"['feminine', 'plural']"
37.º,
37.ºs,"['masculine', 'plural']"
38.ª,['feminine']
38.ªs,"['feminine', 'plural']"
38.º,
38.ºs,"['masculine', 'plural']"
39.ª,['feminine']
39.ªs,"['feminine', 'plural']"
39.º,
39.ºs,"['masculine', 'plural']"
3a,['alternative']
3o,['alternative']
3ª,['feminine']
3ªs,"['feminine', 'plural']"
3º,['masculine']
3ºs,"['masculine', 'plural']"
4.ª,['feminine']
4.ªs,"['feminine', 'plural']"
4.º,
4.ºs,"['masculine', 'plural']"
40.ª,['feminine']
40.ªs,"['feminine', 'plural']"
40.º,
40.ºs,"['masculine', 'plural']"
41.ª,['feminine']
41.ªs,"['feminine', 'plural']"
41.º,
41.ºs,"['masculine', 'plural']"
42.ª,['feminine']
42.ªs,"['feminine', 'plural']"
42.º,
42.ºs,"['masculine', 'plural']"
43.ª,['feminine']
43.ªs,"['feminine', 'plural']"
43.º,
43.ºs,"['masculine', 'plural']"
44.ª,['feminine']
44.ªs,"['feminine', 'plural']"
44.º,
44.ºs,"['masculine', 'plural']"
45.ª,['feminine']
45.ªs,"['feminine', 'plural']"
45.º,
45.ºs,"['masculine', 'plural']"
46.ª,['feminine']
46.ªs,"['feminine', 'plural']"
46.º,
46.ºs,"['masculine', 'plural']"
47.ª,['feminine']
47.ªs,"['feminine', 'plural']"
47.º,
47.ºs,"['masculine', 'plural']"
48.ª,['feminine']
48.ªs,"['feminine', 'plural']"
48.º,
48.ºs,"['masculine', 'plural']"
49.ª,['feminine']
49.ªs,"['feminine', 'plural']"
49.º,
49.ºs,"['masculine', 'plural']"
4ª,['feminine']
4ªs,"['feminine', 'plural']"
4º,
4ºs,"['masculine', 'plural']"
5.ª,['feminine']
5.ªs,"['feminine', 'plural']"
5.º,
5.ºs,"['masculine', 'plural']"
50.ª,['feminine']
50.ªs,"['feminine', 'plural']"
50.º,
50.ºs,"['masculine', 'plural']"
51.ª,['feminine']
51.ªs,"['feminine', 'plural']"
51.º,
51.ºs,"['masculine', 'plural']"
52.ª,['feminine']
52.ªs,"['feminine', 'plural']"
52.º,
52.ºs,"['masculine', 'plural']"
53.ª,['feminine']
53.ªs,"['feminine', 'plural']"
53.º,
53.ºs,"['masculine', 'plural']"
54.ª,['feminine']
54.ªs,"['feminine', 'plural']"
54.º,
54.ºs,"['masculine', 'plural']"
55.ª,['feminine']
55.ªs,"['feminine', 'plural']"
55.º,
55.ºs,"['masculine', 'plural']"
56.ª,['feminine']
56.ªs,"['feminine', 'plural']"
56.º,
56.ºs,"['masculine', 'plural']"
57.ª,['feminine']
57.ªs,"['feminine', 'plural']"
57.º,
57.ºs,"['masculine', 'plural']"
58.ª,['feminine']
58.ªs,"['feminine', 'plural']"
58.º,
58.ºs,"['masculine', 'plural']"
59.ª,['feminine']
59.ªs,"['feminine', 'plural']"
59.º,
59.ºs,"['masculine', 'plural']"
5ª,['feminine']
5ªs,"['feminine', 'plural']"
5º,['masculine']
5ºs,"['masculine', 'plural']"
6.ª,['feminine']
6.ªs,"['feminine', 'plural']"
6.º,
6.ºs,"['masculine', 'plural']"
60.ª,['feminine']
60.ªs,"['feminine', 'plural']"
60.º,
60.ºs,"['masculine', 'plural']"
61.ª,['feminine']
61.ªs,"['feminine', 'plural']"
61.º,
61.ºs,"['masculine', 'plural']"
62.ª,['feminine']
62.ªs,"['feminine', 'plural']"
62.º,
62.ºs,"['masculine', 'plural']"
63.ª,['feminine']
63.ªs,"['feminine', 'plural']"
63.º,
63.ºs,"['masculine', 'plural']"
64.ª,['feminine']
64.ªs,"['feminine', 'plural']"
64.º,
64.ºs,"['masculine', 'plural']"
65.ª,['feminine']
65.ªs,"['feminine', 'plural']"
65.º,
65.ºs,"['masculine', 'plural']"
66.ª,['feminine']
66.ªs,"['feminine', 'plural']"
66.º,
66.ºs,"['masculine', 'plural']"
67.ª,['feminine']
67.ªs,"['feminine', 'plural']"
67.º,
67.ºs,"['masculine', 'plural']"
68.ª,['feminine']
68.ªs,"['feminine', 'plural']"
68.º,
68.ºs,"['masculine', 'plural']"
69.ª,['feminine']
69.ªs,"['feminine', 'plural']"
69.º,
69.ºs,"['masculine', 'plural']"
7.ª,['feminine']
7.ªs,"['feminine', 'plural']"
7.º,
7.ºs,"['masculine', 'plural']"
70.ª,['feminine']
70.ªs,"['feminine', 'plural']"
70.º,
70.ºs,"['masculine', 'plural']"
71.ª,['feminine']
71.ªs,"['feminine', 'plural']"
71.º,
71.ºs,"['masculine', 'plural']"
72.ª,['feminine']
72.ªs,"['feminine', 'plural']"
72.º,
72.ºs,"['masculine', 'plural']"
73.ª,['feminine']
73.ªs,"['feminine', 'plural']"
73.º,
73.ºs,"['masculine', 'plural']"
74.ª,['feminine']
74.ªs,"['feminine', 'plural']"
74.º,
74.ºs,"['masculine', 'plural']"
75.ª,['feminine']
75.ªs,"['feminine', 'plural']"
75.º,
75.ºs,"['masculine', 'plural']"
76.ª,['feminine']
76.ªs,"['feminine', 'plural']"
76.º,
76.ºs,"['masculine', 'plural']"
77.ª,['feminine']
77.ªs,"['feminine', 'plural']"
77.º,
77.ºs,"['masculine', 'plural']"
78.ª,['feminine']
78.ªs,"['feminine', 'plural']"
78.º,
78.ºs,"['masculine', 'plural']"
79.ª,['feminine']
79.ªs,"['feminine', 'plural']"
79.º,
79.ºs,"['masculine', 'plural']"
8.ª,['feminine']
8.ªs,"['feminine', 'plural']"
8.º,
8.ºs,"['masculine', 'plural']"
80.ª,['feminine']
80.ªs,"['feminine', 'plural']"
80.º,
80.ºs,"['masculine', 'plural']"
81.ª,['feminine']
81.ªs,"['feminine', 'plural']"
81.º,
81.ºs,"['masculine', 'plural']"
82.ª,['feminine']
82.ªs,"['feminine', 'plural']"
82.º,
82.ºs,"['masculine', 'plural']"
83.ª,['feminine']
83.ªs,"['feminine', 'plural']"
83.º,
83.ºs,"['masculine', 'plural']"
84.ª,['feminine']
84.ªs,"['feminine', 'plural']"
84.º,
84.ºs,"['masculine', 'plural']"
85.ª,['feminine']
85.ªs,"['feminine', 'plural']"
85.º,
85.ºs,"['masculine', 'plural']"
86.ª,['feminine']
86.ªs,"['feminine', 'plural']"
86.º,
86.ºs,"['masculine', 'plural']"
87.ª,['feminine']
87.ªs,"['feminine', 'plural']"
87.º,
87.ºs,"['masculine', 'plural']"
88.ª,['feminine']
88.ªs,"['feminine', 'plural']"
88.º,
88.ºs,"['masculine', 'plural']"
89.ª,['feminine']
89.ªs,"['feminine', 'plural']"
89.º,
89.ºs,"['masculine', 'plural']"
9.ª,['feminine']
9.ªs,"['feminine', 'plural']"
9.º,
9.ºs,"['masculine', 'plural']"
90.ª,['feminine']
90.ªs,"['feminine', 'plural']"
90.º,
90.ºs,"['masculine', 'plural']"
91.ª,['feminine']
91.ªs,"['feminine', 'plural']"
91.º,
91.ºs,"['masculine', 'plural']"
92.ª,['feminine']
92.ªs,"['feminine', 'plural']"
92.º,
92.ºs,"['masculine', 'plural']"
93.ª,['feminine']
93.ªs,"['feminine', 'plural']"
93.º,
93.ºs,"['masculine', 'plural']"
94.ª,['feminine']
94.ªs,"['feminine', 'plural']"
94.º,
94.ºs,"['masculine', 'plural']"
