form,tags
&,
a fin de que,
a medida que,
a menos que,
a modo de,
a no ser que,
a poco que,
a tal punto que,
agora,['alternative']
ahora,
ahora ... ahora ...,['canonical']
ahora que,
al igual que,
al paso que,
anque,['alternative']
ansi,
antes bien,
así como,
así que,
aun cuando,
aunq,
aunque,
bien que,
ca,
caso de,
caso que,
chance,
como,
como quiera que,
como si,
con el fin de que,
con tal de,
con tal de que,
con tal que,
conforme,
conque,
cual si,
cuando,
cuanto quiera que,
dado que,
de forma que,
de manera que,
de modo que,
de suerte que,
desque,
donde,
e,['alternative']
el que,
en cambio,
en caso de,
en la medida en que,
en tanto que,
ergo,
eso que,
hasta que,
hasta tal punto que,
hasta tanto,
i,['alternative']
junto a,
k,
luego,
luego que,
maguer,
mal que,
malgrado,
mas,
media vez,
mientra,['alternative']
mientras,
mientras que,
mientre,['alternative']
más,
más bien,
más que,
nen,
ni,
ni que,
nin,
no obstante,
no vaya a ser que,
o,
o bien,
o … o,['canonical']
ora,
ora ... ora ...,['canonical']
para con,
para que,
pero,
pk,['alternative']
por el contrario,
por ende,
por eso,
por lo mismo,
por lo que,
por mucho que,
por más que,
por no hablar de,
por si,
porq,
porque,
pos,
pq,
presupuesto que,
pues,
puesto,
puesto que,['canonical']
quando,['alternative']
que,
quier,
quier ... quier,['canonical']
q̃,
si,
si bien,
si y solo si,
si ya,
siempre que,
sii,
sino,
sinon,
siquiera,
supuesto que,
u,['alternative']
vis a vis,
visto que,
xq,
y,['alternative']
y eso que,
y/o,
y/u,['alternative']
ya,
ya ... ya ...,['canonical']
ya que,
é,['alternative']
ò,['alternative']
ó,['alternative']
ú,['alternative']
