form,tags
-entes,
1.ª,['alternative']
1.º,['alternative']
11 metros,['alternative']
2.ª,['alternative']
2.º,['alternative']
3.ª,['alternative']
3.º,['alternative']
7 metros,['alternative']
A,
AA. VV.,
ABC,
ABCs,['plural']
ABS,['plural']
ACS,
ACV,['plural']
ADE,
ADN,
AINE,
AINEs,['plural']
AMAF,['alternative']
AOVE,
ARN,['plural']
ARN de transferencia,['plural']
ARN mensajero,
ARN mensajeros,['plural']
ARNm,['plural']
ARNr,['plural']
ARNt,['plural']
ASMR,
AUE,['plural']
AUH,['plural']
AVE,
AVEs,['plural']
Alternative form of soja,['canonical']
Alzheimer,
Andes,['Caribbean']
Atmán,
Azawakh,['plural']
B.I.O.,['alternative']
BAE,
BAP,
BB cream,
BB creams,['plural']
BDSM,
BFF,
BFFs,['plural']
BIO,
BTT,['plural']
Barros Luco,['alternative']
Barros Lucos,['plural']
Basco,['alternative']
Belcebú,['alternative']
Big Mac,
Big Macs,['plural']
Black Friday,
Black Fridays,['plural']
Bogotazo,
Bogotazos,['plural']
Brujilda,
Brujildas,['plural']
Buffyverso,
C,
C. A.,
C.A.,
C.C.A.A.,['alternative']
CA,
CAE,
CAEs,['plural']
CAISS,['plural']
CAM,
CAP,
CC,
CC. AA.,['plural']
CCAA,['alternative']
CD,['plural']
CDs,['plural']
CESFAM,['plural']
CF,
CFC,['plural']
CI,['plural']
CIP,
CIPs,['plural']
COAC,
CORE,
CTIM,
CV,['plural']
CV,['alternative']
Calz.,
Candelaria,
Candelarias,['plural']
Cañari,['alternative']
Cañaris,['plural']
Cdad.,
Celsius,
Central Lechera,
Chac Mool,['alternative']
Chac Mooles,['plural']
Chacho,
Chachos,['plural']
Charo,
Charos,['plural']
Comanchera,['feminine']
Comancheras,"['feminine', 'plural']"
Comanchero,
Comancheros,['plural']
Crta.,
D.,['alternative']
D.ª,['alternative']
DANA,
DANAs,['plural']
DD. HH.,['alternative']
DDHH,
DDL,
DDLs,['plural']
DDT,
DEA,['plural']
DIH,
DIU,['plural']
DJ,['plural']
DNA,['plural']
DNI,
DNIs,['plural']
DNS,['plural']
DPN,
DPNs,['plural']
DT,['plural']
DUI,['plural']
DVD,
DVDs,['plural']
Dalai Lama,
Danbo,
Danbos,['plural']
Dharma,['alternative']
Diegueño,['alternative']
Disney,
Disneyes,['plural']
Domingo de Ramos,
Domingos de Ramos,['plural']
Don,['masculine']
Dones,['plural']
Dones,"['masculine', 'plural']"
Doña,['feminine']
Doña,['alternative']
Doñas,"['feminine', 'plural']"
Doñas,['plural']
Dr.,['alternative']
Dr.,['masculine']
Dra.,['feminine']
Dra.,['alternative']
Drs.,['alternative']
Drs.,"['masculine', 'plural']"
Drs.,['plural']
Drs.,"['feminine', 'plural']"
E,
ECA,
ECAs,['plural']
ECG,['plural']
EDAR,
EEV,
EGB,
EGDE,['alternative']
ELA,
EMG,
EPI,['plural']
EPOC,
EPOCs,['plural']
EPP,
ERC,
ERCs,['plural']
ERE,['plural']
ERTE,['plural']
ESO,
ETS,['plural']
ETT,
ETTs,['plural']
EVA,
El Juego,
Emperador-Dios,['plural']
Epifanía,
Esguiçaro,['alternative']
Esguiçaros,['plural']
Estado de derecho,
Estados de derecho,['plural']
Eurogrupo,['alternative']
Europarlamento,
Extrema Unción,
Extremas Unciones,['plural']
FA,
FARME,
FARMEs,['plural']
FAs,['plural']
FC,
FCs,['plural']
FF. AA.,
FFCC,
FFCCs,['plural']
FRA,
FRAs,['plural']
Francomodines,['plural']
Francomodín,
Fórmula,"['canonical', 'masculine']"
Fórmula 1,
Fórmula Uno,['alternative']
GC,
GNC,
GNL,
GPS,['plural']
Genesis,
Gral.,
Gran Premio,
Grandes Premios,['plural']
HBP,
HBPs,['plural']
HDA,
HDAs,['plural']
HDB,
HDBs,['plural']
HDLGP,
HDP,['plural']
HP,
Hacienda,
Halach Uinic,['alternative']
Halach Uinic,['plural']
Halach Uinicil,['plural']
Halach Uinik,['alternative']
Halach Uinik,['plural']
Halloween,
Halloweens,['plural']
Haratin,
Hijo del Cielo,
I+D,
IA,
IAM,
IAMs,['plural']
IBI,
ICFT,
ICFTs,['plural']
IECA,
IECAs,['plural']
IES,['plural']
IG,
IGV,
IGs,['plural']
II,['alternative']
ILE,
IMAO,
IMAOs,['plural']
IMC,
IME,['plural']
IPC,['plural']
IPIM,
IRA,
IRAs,['plural']
IRPF,['plural']
ISRS,['plural']
ITS,['plural']
ITU,
ITUs,['plural']
ITV,['plural']
IVA,
IVE,
JCE,
JMAF,['alternative']
Jedi,
Jedis,['plural']
Jericó,
Jr.,
KF94,
KN95,
LCD,
LCDs,['plural']
LCR,
LGBTfobia,
LGBTfobias,['plural']
LGTBfobia,
LGTBfobias,['plural']
LP,['plural']
LSD,
LSDs,['plural']
LSE,
MCI,['plural']
MENA,
MENAS,['plural']
MEP,
MIR,['plural']
ML,['plural']
MVDOL,['plural']
Mancomunidad,
Mancomunidades,['plural']
Mapuche,['alternative']
Marinduque,
Menemomics,
Mesa de la Cámara,
Mindanao,
Mindanaos,['plural']
Morenazi,
Morenazis,['plural']
N,
NE,
NIE,
NIF,['plural']
NNA,
NO,
NOM,['plural']
NPI,
NdP,
NdPs,['plural']
No.,['alternative']
O,
OGM,['plural']
OMG,['alternative']
ONG,['plural']
ONG,['alternative']
OVNI,
OVNIs,['plural']
Oja,
P. D.,
P. S.,
PA,['plural']
PAES,
PAS,['plural']
PASO,
PBC,
PBI,['plural']
PCR,
PCRs,['plural']
PD,['alternative']
PDI,['alternative']
PDIs,['plural']
PFM,['plural']
PGR,
PGRs,['plural']
PIB,['plural']
PIN,['alternative']
PIN,['plural']
PIN parental,
PIN parentales,['plural']
PMD,
PMDs,['plural']
PNN,
PNNs,['plural']
PTTO,
PTTOs,['plural']
PUF,['plural']
PVP,
PYME,['alternative']
PYMEs,['plural']
Panchen Lama,['plural']
Pascua,['alternative']
Pascuas,['plural']
PdV,
Pepito paga doble,
Phedro,
Picasso,
Picassos,['plural']
Poder Ejecutivo,['alternative']
Premio Nobel,
Premios Nobel,['plural']
Prepuna,
Pte.,
Pucallpa,
PyME,['alternative']
PyMEs,['plural']
RAE,['plural']
RCP,
RDSI,
RDSIs,['plural']
RENFE,['alternative']
RENFEs,['plural']
RFA,['alternative']
RFAs,['plural']
RM,
RNA,['plural']
RPM,
RPMs,['plural']
RR. HH.,
RR. PP.,
RRHH,
RSS,
RSSs,['plural']
RUN,['plural']
RUT,['plural']
Ratoncito Pérez,['alternative']
Reich,
Reichs,['plural']
Renfe,['alternative']
Renfes,['plural']
S,
S.,
S. A.,
S. A. de C. V.,
S.A.,
S.A.D,
S.A.s,
S.T.D.,
SAI,
SAP,
SAR,
SARM,['plural']
SBK,
SBKs,['plural']
SCA,
SCAs,['plural']
SD,
SE,
SIDA,['alternative']
SM,
SMS,['plural']
SN,
SO,
SRL,['plural']
SS. AA.,['plural']
SS. AA. de C. V.,['plural']
SS. HH.,
SSMM,['plural']
SST,
San,['alternative']
Sang ley,['alternative']
Sang-lay,['alternative']
Sanglay,['alternative']
Sangley,
Sangleyes,['plural']
Señor,['alternative']
Señor,['masculine']
Señora,['alternative']
Señora,['feminine']
Señoras,['plural']
Señoras,"['feminine', 'plural']"
Señores,['plural']
Señores,"['masculine', 'plural']"
Señorita,['alternative']
ShakiFan,['alternative']
ShakiFans,['plural']
Simón dice,
Sor,['alternative']
Sr,['alternative']
Sr.,
Sra,['alternative']
Sra.,
Sras,['plural']
Sras.,['plural']
Sres,['plural']
Sres.,['plural']
Srta,['alternative']
Srta.,['alternative']
Srtas,['plural']
Srtas.,['plural']
Sta.,
Sto.,
Su Majestad,
Sus Majestades,['plural']
Símbolo niceno,['alternative']
T.A.C.C.,['alternative']
TAC,['plural']
TACC,
TAG,
TAR,
TAS,['alternative']
TC,['plural']
TCA,['plural']
TDAH,
TEA,['plural']
TEP,
TEPT,
TEPs,['plural']
TERF,['plural']
THC,
TIC,
TLC,['plural']
TLP,
TMA,
TOC,
TSE,['plural']
TU,['plural']
TVT,
Tamagotchi,
Tamagotchis,['plural']
Tribunal Tutelar de Menores,
Tribunales Tutelares de Menores,['plural']
Triple Diosa,['alternative']
UCI,['plural']
UDI,['plural']
UF,['plural']
UI,['plural']
UP,['plural']
URUIURUI,['plural']
USB,['plural']
UTM,['plural']
UVC,['plural']
UVR,['plural']
Uniones,['plural']
Unión,
VAR,
VARs,['plural']
VIH,
VMP,
VMPs,['plural']
VOSE,
VOSI,
VPH,
VV. AA.,
VVAA,
Valium,
Valiums,['plural']
VdG,
Veda,
Vedas,['plural']
Vinotinto,['alternative']
Vocho,
Vochos,['plural']
WA,
WAs,['plural']
Yanquilandia,
ZEC,['plural']
ZEPA,['plural']
ZEPAs,['plural']
ZIP,
Zapatismo,['alternative']
Zelda,['alternative']
Zeldas,['plural']
Zinfandel,
a,
a Dios,['alternative']
aa. vv.,
aaleniano,
aalenianos,['plural']
aaronita,
aaronitas,['plural']
ab.,
ababa,['alternative']
ababas,['plural']
ababol,
ababoles,['plural']
ababuy,
ababuyes,['plural']
ababábite,
ababábites,['plural']
abacalera,['feminine']
abacaleras,"['feminine', 'plural']"
abacaleras,['plural']
abacalero,
abacaleros,['plural']
abacera,['feminine']
abaceras,"['feminine', 'plural']"
abaceras,['plural']
abacero,
abaceros,['plural']
abacería,
abacerías,['plural']
abacho,
abachos,['plural']
abaciado,
abaciados,['plural']
abaciato,
abaciatos,['plural']
abacista,
abacistas,['plural']
abacora,['alternative']
abacoras,['plural']
abacá,
abacás,['plural']
abad,
abada,
abadas,['plural']
abadejo,
abadejos,['plural']
abades,['plural']
abadesa,
abadesas,['plural']
abadiato,
abadiatos,['plural']
abadí,
abadía,
abadías,['plural']
abadíes,['plural']
abadís,['plural']
abahá,['alternative']
abajadero,
abajaderos,['plural']
abajera,
abajeras,['plural']
abajeña,['feminine']
abajeñas,"['feminine', 'plural']"
abajeñas,['plural']
abajeño,
abajeños,['plural']
abajina,['feminine']
abajinas,"['feminine', 'plural']"
abajinas,['plural']
abajino,
abajinos,['plural']
abajofirmante,
abajofirmantes,['plural']
abajor,
abakuá,
abakuás,['plural']
abaldonamiento,
abaldonamientos,['plural']
abaleo,
abaleos,['plural']
abalorio,
abalorios,['plural']
abamperio,
abamperios,['plural']
abanaciones,['plural']
abanación,
abancalamiento,
abancalamientos,['plural']
abanderada,['feminine']
abanderadas,['plural']
abanderadas,"['feminine', 'plural']"
abanderado,
abanderados,['plural']
abanderamiento,
abanderamientos,['plural']
abandonamiento,
abandonamientos,['plural']
abandonismo,
abandonismos,['plural']
abandonista,
abandonistas,['plural']
abandono,
abandono de proceso,
abandonos,['plural']
abandonos de proceso,['plural']
abangareña,['feminine']
abangareñas,"['feminine', 'plural']"
abangareñas,['plural']
abangareño,
abangareños,['plural']
abanicada,
abanicadas,['plural']
abanicazo,
abanicazos,['plural']
abanico,
abanico aluvial,
abanicos,['plural']
abanicos aluviales,['plural']
abanillo,
abanillos,['plural']
abano,
abanos,['plural']
abaratamiento,
abaratamientos,['plural']
abarca,
abarcas,['plural']
abarraces,['plural']
abarraz,
abarrote,
abarrotera,['feminine']
abarroteras,"['feminine', 'plural']"
abarroteras,['plural']
abarrotero,
abarroteros,['plural']
abarrotería,
abarroterías,['plural']
abarrotes,['plural']
abasida,
abasidas,['plural']
abastamiento,['alternative']
abastamientos,['plural']
abastecedor,
abastecedores,['plural']
abastecimiento,
abastecimientos,['plural']
abastimiento,['alternative']
abastimientos,['plural']
abasto,
abastos,['plural']
abasí,
abasíes,['plural']
abasís,['plural']
abate,
abates,['plural']
abatimiento,
abatimientos,['plural']
abatizaciones,['plural']
abatización,
abaya,
abayas,['plural']
abazones,['plural']
abazón,
abaá,
abaás,['plural']
abañadura,
abañaduras,['plural']
abc,
abciximab,
abcs,['plural']
abdesto,
abdestos,['plural']
abdicaciones,['plural']
abdicación,
abdicador,
abdicadora,['feminine']
abdicadoras,"['feminine', 'plural']"
abdicadoras,['plural']
abdicadores,['plural']
abdomen,
abdomen de lavadero,
abdominal,
abdominales,['plural']
abdominoplastia,
abdominoplastias,['plural']
abducciones,['plural']
abducción,
abductor,
abductor del meñique,
abductor largo del pulgar,
abductores,['plural']
abductores del meñique,['plural']
abductores largos del pulgar,['plural']
abdómenes,['plural']
abecedariana,['feminine']
abecedarianas,"['feminine', 'plural']"
abecedarianas,['plural']
abecedariano,
abecedarianos,['plural']
abecedario,
abecedarios,['plural']
abecé,
abecés,['plural']
abedul,
abedul europeo,
abedular,
abedulares,['plural']
abedules,['plural']
abedules europeos,['plural']
abeja,
abeja albañila,
abeja carpintera,
abeja de miel,
